"Label (Grouping)","Congressional District 3 (115th Congress), Minnesota!!Total!!Estimate","Congressional District 3 (115th Congress), Minnesota!!Total!!Margin of Error","Congressional District 3 (115th Congress), Minnesota!!Percent!!Estimate","Congressional District 3 (115th Congress), Minnesota!!Percent!!Margin of Error","Congressional District 3 (115th Congress), Minnesota!!Male!!Estimate","Congressional District 3 (115th Congress), Minnesota!!Male!!Margin of Error","Congressional District 3 (115th Congress), Minnesota!!Percent Male!!Estimate","Congressional District 3 (115th Congress), Minnesota!!Percent Male!!Margin of Error","Congressional District 3 (115th Congress), Minnesota!!Female!!Estimate","Congressional District 3 (115th Congress), Minnesota!!Female!!Margin of Error","Congressional District 3 (115th Congress), Minnesota!!Percent Female!!Estimate","Congressional District 3 (115th Congress), Minnesota!!Percent Female!!Margin of Error"
"Total population","714,299","±5,441","(X)","(X)","347,655","±4,525","(X)","(X)","366,644","±4,985","(X)","(X)"
"AGE","","","","","","","","","","","",""
"    Under 5 years","47,840","±2,438","6.7%","±0.3","25,313","±1,920","7.3%","±0.6","22,527","±1,617","6.1%","±0.4"
"    5 to 9 years","46,213","±3,105","6.5%","±0.4","22,297","±2,068","6.4%","±0.6","23,916","±2,096","6.5%","±0.6"
"    10 to 14 years","45,052","±3,459","6.3%","±0.5","22,943","±2,211","6.6%","±0.6","22,109","±2,237","6.0%","±0.6"
"    15 to 19 years","42,230","±2,186","5.9%","±0.3","21,746","±1,560","6.3%","±0.4","20,484","±1,412","5.6%","±0.4"
"    20 to 24 years","31,030","±2,452","4.3%","±0.3","17,355","±1,807","5.0%","±0.5","13,675","±1,574","3.7%","±0.4"
"    25 to 29 years","41,986","±3,353","5.9%","±0.5","20,367","±2,144","5.9%","±0.6","21,619","±2,098","5.9%","±0.5"
"    30 to 34 years","49,018","±3,179","6.9%","±0.4","23,662","±2,017","6.8%","±0.6","25,356","±2,056","6.9%","±0.5"
"    35 to 39 years","50,995","±3,788","7.1%","±0.5","24,872","±2,512","7.2%","±0.7","26,123","±2,551","7.1%","±0.7"
"    40 to 44 years","43,965","±3,439","6.2%","±0.5","21,577","±2,229","6.2%","±0.6","22,388","±2,017","6.1%","±0.6"
"    45 to 49 years","47,635","±2,813","6.7%","±0.4","23,588","±1,918","6.8%","±0.5","24,047","±1,450","6.6%","±0.4"
"    50 to 54 years","51,236","±2,263","7.2%","±0.3","23,999","±1,384","6.9%","±0.4","27,237","±1,541","7.4%","±0.4"
"    55 to 59 years","56,855","±3,491","8.0%","±0.5","27,357","±2,058","7.9%","±0.6","29,498","±2,234","8.0%","±0.6"
"    60 to 64 years","49,843","±3,331","7.0%","±0.5","23,393","±2,171","6.7%","±0.6","26,450","±1,960","7.2%","±0.5"
"    65 to 69 years","37,635","±2,485","5.3%","±0.4","17,962","±1,556","5.2%","±0.4","19,673","±1,553","5.4%","±0.4"
"    70 to 74 years","27,879","±2,113","3.9%","±0.3","13,112","±1,109","3.8%","±0.3","14,767","±1,477","4.0%","±0.4"
"    75 to 79 years","19,375","±1,842","2.7%","±0.3","8,179","±1,045","2.4%","±0.3","11,196","±1,254","3.1%","±0.3"
"    80 to 84 years","10,936","±1,248","1.5%","±0.2","4,372","±753","1.3%","±0.2","6,564","±954","1.8%","±0.3"
"    85 years and over","14,576","±1,839","2.0%","±0.3","5,561","±991","1.6%","±0.3","9,015","±1,246","2.5%","±0.3"
"SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"    5 to 14 years","91,265","±3,674","12.8%","±0.5","45,240","±2,553","13.0%","±0.7","46,025","±2,289","12.6%","±0.6"
"    15 to 17 years","29,978","±1,530","4.2%","±0.2","14,956","±1,128","4.3%","±0.3","15,022","±1,011","4.1%","±0.3"
"    Under 18 years","169,083","±4,385","23.7%","±0.6","85,509","±2,995","24.6%","±0.8","83,574","±3,182","22.8%","±0.8"
"    18 to 24 years","43,282","±2,911","6.1%","±0.4","24,145","±2,140","6.9%","±0.6","19,137","±2,113","5.2%","±0.6"
"    15 to 44 years","259,224","±4,794","36.3%","±0.6","129,579","±3,702","37.3%","±1.0","129,645","±3,436","35.4%","±0.7"
"    16 years and over","566,059","±6,071","79.2%","±0.6","272,775","±4,629","78.5%","±0.9","293,284","±4,267","80.0%","±0.7"
